"acta_numero","fecha_de_creacion","numero_de_acta","guia_aerea","dosis_recibidas","hipervinculo",""
"ACTA-2020-90775396-APN-SSGA#MS","2020-12-28","ACTA 2020_2475 ","044-44032940","300150","https://www.argentina.gob.ar/sites/default/files/acta-2020-90775396-apn-ssga-ms.pdf",""
"ACTA-2021-04609626-APN-SSGA#MS","2021-01-18","ACTA 2021_0051 ","044-44032973","300000","https://www.argentina.gob.ar/sites/default/files/acta-2021-04609626-apn-ssga-ms.pdf",""
"ACTA-2021-08849514-APN-SSGA#MS","2021-02-01","ACTA 2021_0125 ","044-44032984","152600","https://www.argentina.gob.ar/sites/default/files/acta-2021-08849514-apn-ssga-ms.pdf",""
"ACTA-2021-08850528-APN-SSGA#MS","2021-02-01","ACTA 2021_0126 ","044-44032984","67400","https://www.argentina.gob.ar/sites/default/files/acta-2021-08850528-apn-ssga-ms.pdf",""
"ACTA-2021-13007832-APN-SSGA#MS","2021-02-13","ACTA 2021_0200 ","044-44032995","400390","https://www.argentina.gob.ar/sites/default/files/acta-2021-13007832-apn-ssga-ms.pdf",""
"ACTA-2021-14171421-APN-SSGA#MS","2021-02-18","ACTA 2021_0210 ","BOM00217626","580000","https://www.argentina.gob.ar/sites/default/files/acta-2021-14171421-apn-ssga-ms.pdf",""
"ACTA-2021-17308856-APN-SSGA#MS","2021-02-27","ACTA 2021_0262 ","BJS00034510","904000","https://www.argentina.gob.ar/sites/default/files/acta-2021-17308856-apn-ssga-ms.pdf",""
"ACTA-2021-17436236-APN-SSGA#MS","2021-02-28","ACTA 2021_0263 ","BJS00034532","96000","https://www.argentina.gob.ar/sites/default/files/acta-2021-17436236-apn-ssga-ms.pdf",""
"ACTA-2021-19675447-APN-SSGA#MS","2021-03-05","ACTA 2021_0303 ","044-44033010","317200","https://www.argentina.gob.ar/sites/default/files/acta-2021-19675447-apn-ssga-ms.pdf",""
"ACTA-2021-19755146-APN-SSGA#MS","2021-03-05","ACTA 2021_0306 ","044-44033021","506685","https://www.argentina.gob.ar/sites/default/files/acta-2021-19755146-apn-ssga-ms.pdf",""
"ACTA-2021-19827604-APN-SSGA#MS","2021-03-05","ACTA 2021_0308 ","044-44033010","91200","https://www.argentina.gob.ar/sites/default/files/acta-2021-19827604-apn-ssga-ms.pdf",""
"ACTA-2021-22205657-APN-SSGA#MS","2021-03-12","ACTA 2021_0334 ","044-44033010","108800","https://www.argentina.gob.ar/sites/default/files/acta-2021-22205657-apn-ssga-ms.pdf",""
"ACTA-2021-22283971-APN-SSGA#MS","2021-03-12","ACTA 2021_0342 ","044-44033021","225310","https://www.argentina.gob.ar/sites/default/files/acta-2021-22283971-apn-ssga-ms.pdf",""
"ACTA-2021-24633350-APN-SSGA#MS","2021-03-19","ACTA 2021_0405 ","044-44032995","300","https://www.argentina.gob.ar/sites/default/files/acta-2021-24633350-apn-ssga-ms.pdf",""
"ACTA-2021-24794644-APN-SSGA#MS","2021-03-20","ACTA 2021_0416 ","044-44033032","330000","https://www.argentina.gob.ar/sites/default/files/acta-2021-24794644-apn-ssga-ms.pdf",""
"ACTA-2021-25979446-APN-SSGA#MS","2021-03-23","ACTA 2021_0429 ","044-44033054","300000","https://www.argentina.gob.ar/sites/default/files/acta-2021-25979446-apn-ssga-ms.pdf",""
"ACTA-2021-27157225-APN-SSGA#MS","2021-03-27","ACTA 2021_0447 ","044-44033091","370000","https://www.argentina.gob.ar/sites/default/files/acta-2021-27157225-apn-ssga-ms.pdf",""
"ACTA-2021-27284408-APN-SSGA#MS","2021-03-28","ACTA 2021_0448 ","AMS-10469465","218400","https://www.argentina.gob.ar/sites/default/files/acta-2021-27284408-apn-ssga-ms.pdf",""
"ACTA-2021-27599130-APN-SSGA#MS","2021-03-29","ACTA 2021_0449 ","044-44033021","320","https://www.argentina.gob.ar/sites/default/files/acta-2021-27599130-apn-ssga-ms.pdf",""
"ACTA-2021-28694967-APN-SSGA#MS","2021-03-31","ACTA 2021_0481 ","044-44033102","252055","https://www.argentina.gob.ar/sites/default/files/acta-2021-28694967-apn-ssga-ms.pdf",""
"ACTA-2021-28913622-APN-SGA#MS","2021-04-02","ACTA 2021_0482 ","BJS00034786","1000000","https://www.argentina.gob.ar/sites/default/files/acta-2021-28913622-apn-sga-ms.pdf",""
